,app_id,ranking,lastWeek,gameName,score,googleUrl,developer,genre,date
0,550067,1,1,프렌즈레이싱,71,https://play.google.com/store/apps/details?id=com.kakaogames.friendsracing,Kakao Games Corp.,['Racing'],2018-11-06 20:06:05
1,555781,2,0,신비아파트 고스트헌터,86,https://play.google.com/store/apps/details?id=com.dev3factory.shinbiApart,주식회사 3F FACTORY,['Adventure'],2018-11-06 20:06:05
2,550566,3,6,포트리스M,75,https://play.google.com/store/apps/details?id=kr.aos.com.aprogen.hng.fortressm,Aprogen Healthcare & Games Inc.,['Action'],2018-11-06 20:06:05
3,554423,4,4,에란트: 헌터의 각성,90,https://play.google.com/store/apps/details?id=kr.xdg.and.lhjx,X.D. Global,['Role Playing'],2018-11-06 20:06:05
4,554135,5,14,Spill It ,82,https://play.google.com/store/apps/details?id=com.custom.spillit,tastypill,['Puzzle'],2018-11-06 20:06:05
5,553016,6,13,던만추 메모리아프레제 ,78,https://play.google.com/store/apps/details?id=com.kr.danmemo,"WFS, Inc.",['Role Playing'],2018-11-06 20:06:05
6,553040,7,15,레이더스,88,https://play.google.com/store/apps/details?id=com.coc.kr.cocyl.google,C.O.C,['Role Playing'],2018-11-06 20:06:05
7,555430,8,0,열화여가,80,https://play.google.com/store/apps/details?id=com.pwrd.lhrg,PWRD,['Role Playing'],2018-11-06 20:06:05
8,550563,9,24,펀치 펀치,92,https://play.google.com/store/apps/details?id=com.punch.realfist.boxingfightinggame,Action.io,['Action'],2018-11-06 20:06:05
9,550894,10,10,드리프트 추적,90,https://play.google.com/store/apps/details?id=com.driftchasing.speedwayracinggames,Superfun Studio,['Arcade'],2018-11-06 20:06:05
