,ranking,gameName,score,developer,genre
0,43,이터널 스톰,96,"GAMELAND(HK)CO.,LIMITED",['Action']
1,11,좀비 죽은 사람 대 인간,94,Greengame,['Arcade']
2,42,픽셀우주선  하이퍼스페이스 Pixels Starships : Hyperspace,94,Savy Soda,['Strategy']
3,25,Tasty Planet Forever,94,Dingo Games,['Action']
4,23,Find The Differences - The Detective,94,10P STUDIO,['Puzzle']
5,21,캔디크러쉬 프렌즈 사가,94,King,['Casual']
6,34,Wonka 캔디 월드 - 웡카팡,94,Zynga,['Casual']
7,12,공군주,94,Superfun Studio,['Simulation']
8,9,펀치 펀치,92,Action.io,['Action']
9,41,리얼 축구 리그 시뮬레이션 게임,92,JustinGeorge Studio,['Sports']
