,ranking,gameName,score,developer,genre
0,43,이터널 스톰,96,"GAMELAND(HK)CO.,LIMITED",['Action']
1,12,공군주,94,Superfun Studio,['Simulation']
2,11,좀비 죽은 사람 대 인간,94,Greengame,['Arcade']
3,42,픽셀우주선  하이퍼스페이스 Pixels Starships : Hyperspace,94,Savy Soda,['Strategy']
4,25,Tasty Planet Forever,94,Dingo Games,['Action']
5,23,Find The Differences - The Detective,94,10P STUDIO,['Puzzle']
6,21,캔디크러쉬 프렌즈 사가,94,King,['Casual']
7,34,Wonka 캔디 월드 - 웡카팡,94,Zynga,['Casual']
8,45,쓰레기 살해,92,Real fist,['Simulation']
9,9,펀치 펀치,92,Action.io,['Action']
