,ranking,gameName,score,developer,genre
0,37,BuzzVideo버즈비디오 - 화제의 동영상 재미있는 GIF 및 TV 쇼,94,TopBuzz Global,['Entertainment']
1,50,마이토킹톰 2,94,Outfit7 Limited,['Casual']
2,1,매직 피아노 타일 2018,94,Tap Lab,['Music']
3,31,나의최애캐 (언니돌  #unniedoll),93,0.1%,['Casual']
4,27,결전 헤이안쿄,91,NetEase Games,['Strategy']
5,5,TikTok 틱톡,90,Bytemod Pte.Ltd.,['Video Players & Editors']
6,33,Instagram,90,Instagram,['Social']
7,9,좋은 피자  위대한 피자,89,TapBlaze,['Casual']
8,30,당근마켓 - 우리 동네 중고 직거래 벼룩장터,89,당근마켓,['Shopping']
9,44,의지의 히어로,88,ZPLAY Games,['Arcade']
