,ranking,gameName,score,developer,genre
0,37,마이토킹톰 2,96,Outfit7 Limited,['Casual']
1,25,BuzzVideo버즈비디오 - 화제의 동영상 재미있는 GIF 및 TV 쇼,94,TopBuzz Global,['Entertainment']
2,44,쓰레기 살해,94,Real fist,['Simulation']
3,38,나의최애캐 (오빠돌  #oppadoll),93,0.1%,['Casual']
4,18,나의최애캐 (언니돌  #unniedoll),93,0.1%,['Casual']
5,36,Death City : Zombie Invasion,92,Charm Tech.,['Adventure']
6,26,토스 : 금융이 쉬워진다,90,Viva Republica,['Finance']
7,39,위메프 - 특가대표 (특가   쇼핑   쇼핑앱   쿠폰   배송),90,위메프,['Shopping']
8,6,신비아파트 고스트헌터,90,주식회사 3F FACTORY,['Adventure']
9,3,TikTok 틱톡,90,Bytemod Pte.Ltd.,['Video Players & Editors']
