,ranking,gameName,score,developer,genre
0,35,미세미세 - 미세먼지  WHO기준  알람  위젯  날씨,96,MiseMise Corporation,['Weather']
1,34,마이토킹톰 2,96,Outfit7 Limited,['Casual']
2,16,나의최애캐 (언니돌  #unniedoll),93,0.1%,['Casual']
3,31,나의최애캐 (오빠돌  #oppadoll),93,0.1%,['Casual']
4,8,신비아파트 고스트헌터,90,주식회사 3F FACTORY,['Adventure']
5,24,토스 : 금융이 쉬워진다,90,Viva Republica,['Finance']
6,4,TikTok 틱톡,90,Bytemod Pte.Ltd.,['Video Players & Editors']
7,33,Instagram,90,Instagram,['Social']
8,29,위메프 - 특가대표 (특가   쇼핑   쇼핑앱   쿠폰   배송),90,위메프,['Shopping']
9,5,좋은 피자  위대한 피자,89,TapBlaze,['Casual']
