,ranking,gameName,score,developer,genre
0,28,미니 메트로,96,Dinosaur Polo Club,['Simulation']
1,45,Agent A - 숨겨진 퍼즐,96,Yak & Co,['Puzzle']
2,49,Nova Launcher Prime,96,TeslaCoil Software,['Personalization']
3,21,Motorsport Manager Mobile 3,96,Playsport Games,['Racing']
4,6,Kingdom Rush Vengeance,96,Ironhide Game Studio,['Strategy']
5,27,Kingdom Rush Origins,96,Ironhide Game Studio,['Strategy']
6,12,Reigns: Her Majesty,96,DevolverDigital,['Card']
7,50,Lara Croft GO,95,SQUARE ENIX Ltd,['Puzzle']
8,35,Rusty Lake: Roots,95,Rusty Lake,['Adventure']
9,5,Monument Valley,95,ustwo games,['Puzzle']
