,ranking,gameName,score,developer,genre
0,34,Reigns: Her Majesty,96,DevolverDigital,['Card']
1,36,Nova Launcher Prime,96,TeslaCoil Software,['Personalization']
2,42,19 수특 수완 단어Plus: 벼락치기 우선단어,96,HS soft,['Education']
3,27,쿠키요미,96,Pier Corporation Inc.,['Casual']
4,35,던전 워페어,96,Valsar,['Strategy']
5,24,Muse Dash,95,X.D. Network,['Music']
6,13,Cytus II (사이터스Ⅱ),94,Rayark International Limited,['Music']
7,4,Poly Bridge,94,Dry Cactus Limited,['Simulation']
8,10,Peace  Death ,94,AZAMATIKA,['Arcade']
9,46,후엠아이: 도로시 이야기,94,Onaemo Studio,['Simulation']
