,app_id,ranking,lastWeek,gameName,score,googleUrl,developer,genre,price,date
0,13918,1,2,Minecraft,84,https://play.google.com/store/apps/details?id=com.mojang.minecraftpe,Mojang,"['Arcade', 'Action & Adventure']","8,429",2018-11-15 10:11:08
1,556304,2,1,Football Manager 2019 Mobile,78,https://play.google.com/store/apps/details?id=football.manager.games.fm19.mobile,SEGA,['Sports'],"11,000",2018-11-15 10:11:08
2,493355,3,3,레이드 매니저,94,https://play.google.com/store/apps/details?id=com.NextPhase.RaidManager,Next Phase,['Role Playing'],"3,000",2018-11-15 10:11:08
3,449821,4,5,Poly Bridge,94,https://play.google.com/store/apps/details?id=com.drycactus.polybridge,Dry Cactus Limited,['Simulation'],"1,200",2018-11-15 10:11:08
4,541004,5,6,레이튼 교수와 이상한 마을 HD,94,https://play.google.com/store/apps/details?id=com.Level5.LT1RKR,LEVEL-5 Inc.,['Adventure'],"12,000",2018-11-15 10:11:08
5,552095,6,15,용사민박,87,https://play.google.com/store/apps/details?id=kr.astrowhale.inn,AstroWhale,['Simulation'],"4,400",2018-11-15 10:11:08
6,189751,7,4,유니콘 - 광고차단 필수앱,89,https://play.google.com/store/apps/details?id=kr.co.lylstudio.unicorn,LYL Studio,['Productivity'],"2,100",2018-11-15 10:11:08
7,558179,8,88,원령의기사,87,https://play.google.com/store/apps/details?id=com.entwell.rk_org,6000Software,['Action'],"1,100",2018-11-15 10:11:08
8,13939,9,7,Geometry Dash,89,https://play.google.com/store/apps/details?id=com.robtopx.geometryjump,RobTop Games,['Arcade'],"2,100",2018-11-15 10:11:08
9,350440,10,60,Peace  Death ,94,https://play.google.com/store/apps/details?id=cc.peacedeath.peacedeath,AZAMATIKA,['Arcade'],999,2018-11-15 10:11:08
