,ranking,gameName,score,developer,genre
0,30,쿠키요미,96,Pier Corporation Inc.,['Casual']
1,34,Nova Launcher Prime,96,TeslaCoil Software,['Personalization']
2,36,Reigns: Her Majesty,96,DevolverDigital,['Card']
3,42,19 수특 수완 단어Plus: 벼락치기 우선단어,96,HS soft,['Education']
4,37,던전 워페어,96,Valsar,['Strategy']
5,39,DISTRAINT: Deluxe Edition,96,Jesse Makkonen,['Adventure']
6,22,Muse Dash,95,X.D. Network,['Music']
7,15,픽테일 - Limited Edition,94,"JP Brothers, Inc.",['Photography']
8,32,Empire Warriors TD Premium: 프리미엄 타워 디펜스 게임 RPG,94,ZITGA PTE. LTD.,['Strategy']
9,49,카카오톡테마 - 블러 8.0,94,아쿠 Arius,['Entertainment']
