,ranking,gameName,score,developer,genre
0,49,19 수특 수완 단어Plus: 빈출 우선단어 총정리,96,HS soft,['Education']
1,34,DISTRAINT: Deluxe Edition,96,Jesse Makkonen,['Adventure']
2,38,Reigns: Her Majesty,96,DevolverDigital,['Card']
3,31,쿠키요미,96,Pier Corporation Inc.,['Casual']
4,37,Nova Launcher Prime,96,TeslaCoil Software,['Personalization']
5,41,던전 워페어,96,Valsar,['Strategy']
6,21,Muse Dash,95,X.D. Network,['Music']
7,47,카카오톡테마 - 블러 8.0,94,아쿠 Arius,['Entertainment']
8,32,Empire Warriors TD Premium: 프리미엄 타워 디펜스 게임 RPG,94,ZITGA PTE. LTD.,['Strategy']
9,4,Poly Bridge,94,Dry Cactus Limited,['Simulation']
