,app_id,ranking,lastWeek,gameName,score,googleUrl,developer,genre,price,date
0,13918,1,10000,Minecraft,84,https://play.google.com/store/apps/details?id=com.mojang.minecraftpe,Mojang,"['Arcade', 'Action & Adventure']","8,429",2018-11-16 11:27:06
1,556304,2,10000,Football Manager 2019 Mobile,78,https://play.google.com/store/apps/details?id=football.manager.games.fm19.mobile,SEGA,['Sports'],"11,000",2018-11-16 11:27:06
2,493355,3,10000,레이드 매니저,94,https://play.google.com/store/apps/details?id=com.NextPhase.RaidManager,Next Phase,['Role Playing'],"3,000",2018-11-16 11:27:06
3,449821,4,10000,Poly Bridge,94,https://play.google.com/store/apps/details?id=com.drycactus.polybridge,Dry Cactus Limited,['Simulation'],"1,200",2018-11-16 11:27:06
4,189751,5,10000,유니콘 - 광고차단 필수앱,89,https://play.google.com/store/apps/details?id=kr.co.lylstudio.unicorn,LYL Studio,['Productivity'],"2,100",2018-11-16 11:27:06
5,13939,6,10000,Geometry Dash,89,https://play.google.com/store/apps/details?id=com.robtopx.geometryjump,RobTop Games,['Arcade'],"2,100",2018-11-16 11:27:06
6,514812,7,10000,던전공주,90,https://play.google.com/store/apps/details?id=com.ssicosm.dungeon_princess,SSICOSM,['Role Playing'],"2,000",2018-11-16 11:27:06
7,541004,8,10000,레이튼 교수와 이상한 마을 HD,94,https://play.google.com/store/apps/details?id=com.Level5.LT1RKR,LEVEL-5 Inc.,['Adventure'],"12,000",2018-11-16 11:27:06
8,371694,9,10000,60 Seconds  Atomic Adventure,76,https://play.google.com/store/apps/details?id=com.robotgentleman.game60seconds,Robot Gentleman,['Adventure'],"1,100",2018-11-16 11:27:06
9,350440,10,10000,Peace  Death ,94,https://play.google.com/store/apps/details?id=cc.peacedeath.peacedeath,AZAMATIKA,['Arcade'],"1,200",2018-11-16 11:27:06
