,app_id,ranking,lastWeek,gameName,score,googleUrl,developer,genre,price,date
0,13918,1,2,Minecraft,84,https://play.google.com/store/apps/details?id=com.mojang.minecraftpe,Mojang,"['Arcade', 'Action & Adventure']","8,429",2018-11-16 10:30:52
1,556304,2,1,Football Manager 2019 Mobile,78,https://play.google.com/store/apps/details?id=football.manager.games.fm19.mobile,SEGA,['Sports'],"11,000",2018-11-16 10:30:52
2,493355,3,3,레이드 매니저,94,https://play.google.com/store/apps/details?id=com.NextPhase.RaidManager,Next Phase,['Role Playing'],"3,000",2018-11-16 10:30:52
3,449821,4,5,Poly Bridge,94,https://play.google.com/store/apps/details?id=com.drycactus.polybridge,Dry Cactus Limited,['Simulation'],"1,200",2018-11-16 10:30:52
4,189751,5,4,유니콘 - 광고차단 필수앱,89,https://play.google.com/store/apps/details?id=kr.co.lylstudio.unicorn,LYL Studio,['Productivity'],"2,100",2018-11-16 10:30:52
5,541004,6,6,레이튼 교수와 이상한 마을 HD,94,https://play.google.com/store/apps/details?id=com.Level5.LT1RKR,LEVEL-5 Inc.,['Adventure'],"12,000",2018-11-16 10:30:52
6,13939,7,7,Geometry Dash,89,https://play.google.com/store/apps/details?id=com.robtopx.geometryjump,RobTop Games,['Arcade'],"2,100",2018-11-16 10:30:52
7,552095,8,11,용사민박,87,https://play.google.com/store/apps/details?id=kr.astrowhale.inn,AstroWhale,['Simulation'],"4,400",2018-11-16 10:30:52
8,514812,9,72,던전공주,90,https://play.google.com/store/apps/details?id=com.ssicosm.dungeon_princess,SSICOSM,['Role Playing'],"2,000",2018-11-16 10:30:52
9,350440,10,62,Peace  Death ,94,https://play.google.com/store/apps/details?id=cc.peacedeath.peacedeath,AZAMATIKA,['Arcade'],"1,200",2018-11-16 10:30:52
