,ranking,gameName,score,developer,genre
0,28,伊波杏樹 ボイスアラーム murmure ,98,NANO Media Inc.,['Entertainment']
1,15,엔젤피쉬 VIP : 낚시소녀 RPG,96,"CANDY SOFT, INC",['Adventure']
2,6,메모라이즈 #4 : 강철산맥,96,조아라,['Simulation']
3,8,슬라임스크럼블-몬스터혁명,96,INDISIDE,['Role Playing']
4,22,어른의 영어,96,더도트,['Education']
5,7,Reigns: 왕좌의 게임,94,DevolverDigital,['Card']
6,11,Toca Life: Neighborhood,92,Toca Boca,"['Education', 'Pretend Play']"
7,36,Papas Pancakeria To Go ,92,Flipline Studios,['Strategy']
8,5,용사민박,92,AstroWhale,['Simulation']
9,38,RAM  amp; Game Booster by Augustro,90,Augustro,['Tools']
