,ranking,gameName,score,developer,genre
0,30,쿠키런: 오븐브레이크,91,Devsisters Corporation,['Arcade']
1,24,위 베어 베어스 더 퍼즐,90,"SUNDAYTOZ, INC",['Puzzle']
2,37,클래시 오브 클랜,89,Supercell,['Strategy']
3,23,라스트 쉘터 (Last Shelter: Survival),88,IM30 TECHNOLOGY LIMITED,['Strategy']
4,16,로드 모바일: 제국의 전쟁 - MMORPG,88,IGG.COM,['Strategy']
5,12,마피아 시티,88,YottaGames,['Strategy']
6,42,클래시 로얄,87,Supercell,['Strategy']
7,13,삼국지M,87,Efun Company,['Strategy']
8,43,레이더스,87,C.O.C,['Role Playing']
9,8,에픽세븐,86,Smilegate Megaport,['Role Playing']
