,ranking,gameName,score,developer,genre
0,21,쿠키런: 오븐브레이크,91,Devsisters Corporation,['Arcade']
1,24,소녀전선,90,X.D. Global,['Role Playing']
2,32,위 베어 베어스 더 퍼즐,90,"SUNDAYTOZ, INC",['Puzzle']
3,12,클래시 오브 클랜,88,Supercell,['Strategy']
4,10,마피아 시티,88,YottaGames,['Strategy']
5,20,라스트 쉘터 (Last Shelter: Survival),88,IM30 TECHNOLOGY LIMITED,['Strategy']
6,19,로드 모바일: 제국의 전쟁 - MMORPG,88,IGG.COM,['Strategy']
7,26,삼국지M,87,Efun Company,['Strategy']
8,16,클래시 로얄,87,Supercell,['Strategy']
9,31,라그나로크M : 영원한 사랑,87,"GRAVITY Co., Ltd.",['Role Playing']
