,app_id,ranking,lastWeek,gameName,score,googleUrl,developer,genre,date
0,321075,1,1,리니지M,62,https://play.google.com/store/apps/details?id=com.ncsoft.lineagem19,NCSOFT Corporation,['Role Playing'],2018-11-28 10:27:50
1,252608,2,2,리니지2 레볼루션,70,https://play.google.com/store/apps/details?id=com.netmarble.lineageII,Netmarble,['Role Playing'],2018-11-28 10:27:50
2,359168,3,4,검은사막 모바일,81,https://play.google.com/store/apps/details?id=com.pearlabyss.blackdesertm,PEARL ABYSS,['Role Playing'],2018-11-28 10:27:50
3,13926,4,6,세븐나이츠 for Kakao,79,https://play.google.com/store/apps/details?id=com.cjenm.sknights,Netmarble,['Role Playing'],2018-11-28 10:27:50
4,559442,5,5,오크: 전쟁의 서막,80,https://play.google.com/store/apps/details?id=kr.com.efun.kok.google,Efun Company,['Role Playing'],2018-11-28 10:27:50
5,447812,6,3,뮤오리진2,80,https://play.google.com/store/apps/details?id=com.webzen.muorigin2.google,Webzen Inc.,['Role Playing'],2018-11-28 10:27:50
6,130269,7,58,MARVEL 퓨처파이트,81,https://play.google.com/store/apps/details?id=com.netmarble.mherosgb,Netmarble,['Role Playing'],2018-11-28 10:27:50
7,438947,8,8,왕이되는자 - 독창적인 고품격 벼슬길 승진 SRPG  모바일 게임의 선구자,83,https://play.google.com/store/apps/details?id=com.szckhd.jwgly.azkr,CHUANG COOL ENTERTAINMENT,['Role Playing'],2018-11-28 10:27:50
8,81826,9,7,카카오톡 KakaoTalk,80,https://play.google.com/store/apps/details?id=com.kakao.talk,Kakao Corporation,['Communication'],2018-11-28 10:27:50
9,218713,10,11,마피아 시티,88,https://play.google.com/store/apps/details?id=com.yottagames.mafiawar,YottaGames,['Strategy'],2018-11-28 10:27:50
