,ranking,gameName,score,developer,genre
0,26,쿠키런: 오븐브레이크,91,Devsisters Corporation,['Arcade']
1,25,위 베어 베어스 더 퍼즐,90,"SUNDAYTOZ, INC",['Puzzle']
2,46,소녀전선,90,X.D. Global,['Role Playing']
3,40,클래시 오브 클랜,89,Supercell,['Strategy']
4,11,마피아 시티,88,YottaGames,['Strategy']
5,23,라스트 쉘터 (Last Shelter: Survival),88,IM30 TECHNOLOGY LIMITED,['Strategy']
6,20,로드 모바일: 제국의 전쟁 - MMORPG,88,IGG.COM,['Strategy']
7,42,레이더스,87,C.O.C,['Role Playing']
8,37,클래시 로얄,87,Supercell,['Strategy']
9,50,오버히트,87,NEXON Company,['Role Playing']
