,app_id,ranking,lastWeek,gameName,score,googleUrl,developer,genre,date
0,321075,1,1,리니지M,62,https://play.google.com/store/apps/details?id=com.ncsoft.lineagem19,NCSOFT Corporation,['Role Playing'],2018-11-15 10:15:30
1,359168,2,5,검은사막 모바일,81,https://play.google.com/store/apps/details?id=com.pearlabyss.blackdesertm,PEARL ABYSS,['Role Playing'],2018-11-15 10:15:30
2,252608,3,2,리니지2 레볼루션,72,https://play.google.com/store/apps/details?id=com.netmarble.lineageII,Netmarble,['Role Playing'],2018-11-15 10:15:30
3,447812,4,6,뮤오리진2,80,https://play.google.com/store/apps/details?id=com.webzen.muorigin2.google,Webzen Inc.,['Role Playing'],2018-11-15 10:15:30
4,348758,5,3,붕괴3rd,86,https://play.google.com/store/apps/details?id=com.miHoYo.bh3korea,miHoYo Limited,['Action'],2018-11-15 10:15:30
5,13929,6,9,모두의마블 for kakao,70,https://play.google.com/store/apps/details?id=com.cjenm.ModooMarbleKakao,Netmarble,['Board'],2018-11-15 10:15:30
6,81826,7,13,카카오톡 KakaoTalk,78,https://play.google.com/store/apps/details?id=com.kakao.talk,Kakao Corporation,['Communication'],2018-11-15 10:15:30
7,438947,8,12,왕이되는자 - 독창적인 고품격 벼슬길 승진 SRPG  모바일 게임의 선구자,83,https://play.google.com/store/apps/details?id=com.szckhd.jwgly.azkr,CHUANG COOL ENTERTAINMENT,['Role Playing'],2018-11-15 10:15:30
8,415014,9,17,라그나로크M : 영원한 사랑,87,https://play.google.com/store/apps/details?id=com.gravity.rom.aos,"GRAVITY Co., Ltd.",['Role Playing'],2018-11-15 10:15:30
9,526077,10,4,에픽세븐,86,https://play.google.com/store/apps/details?id=com.stove.epic7.google,Smilegate Megaport,['Role Playing'],2018-11-15 10:15:30
